Action_ID,Phrase_ID,Phrase_FR,Phrase_EN,Phase,Niveau,Voice_type,Audio_url
HK_ENTRY,HK_ENTRY_47906e68,Quelle heure ?,What time?,Alternative,A1,STAFF,
HK_ENTRY,HK_ENTRY_ab51a002,Désolé déranger.,Sorry disturb.,Excuse,A1,STAFF,
HK_CLEAN,HK_CLEAN_68044fa3,Je change les draps.,I change sheets.,Action,A1,STAFF,
HK_CLEAN,HK_CLEAN_c1de75da,Je nettoie salle de bain.,I clean bathroom.,Action,A1,STAFF,
HK_CLEAN,HK_CLEAN_f358d6d9,20 minutes environ.,About 20 minutes.,Duree,A1,STAFF,
HK_CLEAN,HK_CLEAN_e65e92c6,Salle de bain d'abord ?,Bathroom first?,Proposition,A1,STAFF,
HK_CLEAN,HK_CLEAN_b15b7488,Presque fini.,Almost done.,Information,A1,STAFF,
HK_CLEAN,HK_CLEAN_fb52f813,Je finis plus tard ?,Finish later?,Alternative,A1,STAFF,
HK_REQUEST,HK_REQUEST_d73fadf7,Combien serviettes ?,How many towels?,Precision,A1,STAFF,
HK_REQUEST,HK_REQUEST_e72ddbf2,Autre chose ?,Anything else?,Service,A1,STAFF,
HK_REQUEST,HK_REQUEST_947cec5b,Shampoing ? Savon ?,Shampoo? Soap?,Service,A1,STAFF,
HK_REQUEST,HK_REQUEST_8e404897,5 minutes. J'apporte.,5 minutes. I bring.,Confirmation,A1,STAFF,
HK_REQUEST,HK_REQUEST_332b0ad5,"Désolé, on n'a pas.","Sorry, we don't have.",Refus,A1,STAFF,
HK_REQUEST,HK_REQUEST_f8879c9b,Je vérifie réception.,I check reception.,Alternative,A1,STAFF,
HK_COMPLAINT,HK_COMPLAINT_9a1ae7c0,Vraiment désolé.,Very sorry.,Excuse,A1,STAFF,
HK_COMPLAINT,HK_COMPLAINT_15557d10,Je nettoie tout de suite.,I clean now.,Action,A1,STAFF,
HK_COMPLAINT,HK_COMPLAINT_78affa60,J'apporte maintenant.,I bring now.,Action,A1,STAFF,
HK_COMPLAINT,HK_COMPLAINT_0c10f702,Je comprends.,I understand.,Empathie,A1,STAFF,
HK_COMPLAINT,HK_COMPLAINT_ad2021d9,Je dis au superviseur.,I tell supervisor.,Escalade,A1,STAFF,
HK_COMPLAINT,HK_COMPLAINT_ce8dfdba,Je regarde derrière.,Let me check behind.,Conflit,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_cb084c99,Je vérifie.,Let me check.,Verification,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_0c2c62cf,"Oui, pas marche.","Yes, not working.",Confirmation,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_6cb22121,J'appelle maintenance.,I call maintenance.,Action,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_312c7f30,15-30 minutes normal.,15-30 minutes usually.,Information,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_ca4b215a,Ventilateur en attendant ?,Fan while waiting?,Solution,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_5f2884a1,Je vous appelle quand fini.,I call you when done.,Suivi,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_6ab2bcf9,Désolé. Pas acceptable.,Sorry. Not acceptable.,Conflit,A1,STAFF,
HK_PROBLEM,HK_PROBLEM_0d57b927,Changer chambre ?,Change room?,Conflit,A1,STAFF,
REST_WELCOME,REST_WELCOME_6f675026,Bonsoir. Bienvenue.,Good evening. Welcome.,Accueil,A1,STAFF,
REST_WELCOME,REST_WELCOME_a87fe3ea,Réservation ?,Reservation?,Verification,A1,STAFF,
REST_WELCOME,REST_WELCOME_6c4d8d20,Combien personnes ?,How many?,Verification,A1,STAFF,
REST_WELCOME,REST_WELCOME_ae8b7f4e,Fenêtre ou intérieur ?,Window or inside?,Proposition,A1,STAFF,
REST_WELCOME,REST_WELCOME_83d506bc,Suivez-moi.,Follow me.,Installation,A1,STAFF,
REST_WELCOME,REST_WELCOME_cc20ca64,Voici menus.,Here are menus.,Installation,A1,STAFF,
REST_WELCOME,REST_WELCOME_15adc77e,À boire ?,Something to drink?,Service,A1,STAFF,
REST_WELCOME,REST_WELCOME_b16a5e92,Plate ou gazeuse ?,Still or sparkling?,Precision,A1,STAFF,
REST_WELCOME,REST_WELCOME_a31f8e6b,Désolé. Complet.,Sorry. Full.,Conflit,A1,STAFF,
REST_WELCOME,REST_WELCOME_0eb490eb,Table dans 45 minutes.,Table in 45 minutes.,Alternative,A1,STAFF,
REST_WELCOME,REST_WELCOME_b2a258e1,Attendre au bar ?,Wait at bar?,Alternative,A1,STAFF,
REST_ORDER,REST_ORDER_1d9ab75d,Prêt à commander ?,Ready to order?,Ouverture,A1,STAFF,
REST_ORDER,REST_ORDER_40b6247c,À boire ?,To drink?,Boisson,A1,STAFF,
REST_ORDER,REST_ORDER_de90c6ec,Et pour manger ?,And food?,Plat,A1,STAFF,
REST_ORDER,REST_ORDER_1f6dab6b,Quelle cuisson ?,How cooked?,Precision,A1,STAFF,
REST_ORDER,REST_ORDER_8a3ce5b2,C'est bon ?,Correct?,Confirmation,A1,STAFF,
REST_ORDER,REST_ORDER_94bcdd1c,Allergies ?,Allergies?,Securite,A1,STAFF,
REST_ORDER,REST_ORDER_7ef1c48f,Je vérifie cuisine.,I check kitchen.,Conflit,A1,STAFF,
REST_ORDER,REST_ORDER_ef10d58f,Chef peut faire sans.,Chef can make without.,Conflit,A2,STAFF,
REST_SERVE,REST_SERVE_fa22f16c,Voici poisson.,Here is fish.,Service,A1,STAFF,
REST_SERVE,REST_SERVE_c82bf2ba,"Attention, chaud.","Careful, hot.",Service,A1,STAFF,
REST_SERVE,REST_SERVE_a6caf106,Bon appétit.,Enjoy.,Service,A1,STAFF,
REST_SERVE,REST_SERVE_e7ca5f41,Tout va bien ?,Everything OK?,Verification,A1,STAFF,
REST_SERVE,REST_SERVE_6ab226d4,Autre chose ?,Anything else?,Service,A1,STAFF,
REST_SERVE,REST_SERVE_d8bde579,Plus de pain ?,More bread?,Service,A1,STAFF,
REST_SERVE,REST_SERVE_1edfddaf,Désolé. Mon erreur.,Sorry. My mistake.,Conflit,A1,STAFF,
REST_SERVE,REST_SERVE_ce827d89,Je ramène le bon.,I bring correct one.,Conflit,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_4b204a61,Un problème ?,Problem?,Identification,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_f9521364,Désolé. Je change.,Sorry. I change.,Action,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_eb1346f0,J'accélère en cuisine.,I speed up kitchen.,Action,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_e8d530ac,Dessert gratuit ?,Free dessert?,Compensation,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_694cb858,2 minutes.,2 minutes.,Conflit,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_2b0c0455,Merci patience.,Thank you patience.,Conflit,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_677e2329,Je parle manager.,I speak manager.,Escalade,A1,STAFF,
REST_COMPLAINT,REST_COMPLAINT_35fd1194,50% réduction.,50% off.,Conflit,A2,STAFF,
REST_BILL,REST_BILL_491e67b7,L'addition ?,The bill?,Ouverture,A1,STAFF,
REST_BILL,REST_BILL_7aad3af2,Café ? Dessert ?,Coffee? Dessert?,Service,A1,STAFF,
REST_BILL,REST_BILL_4b6cba49,Voici.,Here.,Presentation,A1,STAFF,
REST_BILL,REST_BILL_a0fec374,85 000 francs.,"85,000 francs.",Information,A1,STAFF,
REST_BILL,REST_BILL_294ac0c2,Carte ?,Card?,Paiement,A1,STAFF,
REST_BILL,REST_BILL_b43f44e9,Code PIN.,Enter PIN.,Paiement,A1,STAFF,
REST_BILL,REST_BILL_7ce05378,Merci beaucoup.,Thank you.,Cloture,A1,STAFF,
REST_BILL,REST_BILL_3705d603,À bientôt.,See you soon.,Cloture,A1,STAFF,
REST_BILL,REST_BILL_c510f3e6,Je vérifie.,Let me check.,Conflit,A1,STAFF,
REST_BILL,REST_BILL_41bdd5cb,Oui. Je corrige.,Yes. I correct.,Conflit,A1,STAFF,
REST_BILL,REST_BILL_e5bdda8f,Autre carte ?,Another card?,Conflit,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_91820df9,Bonsoir. Client hôtel ?,Evening. Hotel guest?,Identification,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_fbdbbed2,Carte de chambre ?,Room key?,Demande,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_2d41818b,Numéro chambre ?,Room number?,Verification,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_2ad99dae,Merci. Bonne soirée.,Thank you. Good evening.,Cloture,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_d91663c7,Procédure standard.,Standard procedure.,Explication,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_7971bb21,Pour la sécurité.,For safety.,Conflit,A1,STAFF,
SEC_CONTROL,SEC_CONTROL_23c2eb6c,Je vous accompagne réception.,I go with you to reception.,Conflit,A2,STAFF,
SEC_DIRECT,SEC_DIRECT_f83b3a21,Je peux aider ?,Can I help?,Ouverture,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_7b548ec8,Piscine deuxième étage.,Pool second floor.,Direction,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_d71d7e8b,Ascenseur à gauche.,Elevator left.,Direction,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_875fc3eb,Tournez à droite.,Turn right.,Direction,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_483ff722,Ouvert jusqu'à 22h.,Open until 10 PM.,Information,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_61aed975,Je vous montre ?,I show you?,Service,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_f5a368ca,Zone fermée après 20h.,Closed after 8 PM.,Conflit,A1,STAFF,
SEC_DIRECT,SEC_DIRECT_71503f9d,"Bar 5ème, belle terrasse.","Bar 5th floor, nice terrace.",Alternative,A2,STAFF,
SEC_RULE,SEC_RULE_8f0aee97,Pardon. Interdit de fumer ici.,Sorry. No smoking here.,Interdiction,A1,STAFF,
SEC_RULE,SEC_RULE_a2498a8e,Zone fumeur dehors.,Smoking area outside.,Alternative,A1,STAFF,
SEC_RULE,SEC_RULE_14b9c02f,Pour le confort de tous.,For everyone's comfort.,Explication,A1,STAFF,
SEC_RULE,SEC_RULE_20492f19,Pas de verre à la piscine.,No glass at pool.,Interdiction,A1,STAFF,
SEC_RULE,SEC_RULE_8cfde357,Raison de sécurité.,Safety reason.,Explication,A1,STAFF,
SEC_RULE,SEC_RULE_e83484aa,Gobelet plastique ?,Plastic cup?,Alternative,A1,STAFF,
SEC_RULE,SEC_RULE_9fcf49fd,Merci de comprendre.,Thank you understanding.,Cloture,A1,STAFF,
SEC_RULE,SEC_RULE_b5a27c05,Politique de l'hôtel.,Hotel policy.,Conflit,A1,STAFF,
SEC_RULE,SEC_RULE_57d11886,Pas d'exception possible.,No exception.,Conflit,A2,STAFF,
SEC_CONFLICT,SEC_CONFLICT_914ea3d1,Tout va bien ?,Everything OK?,Intervention,A1,STAFF,
SEC_CONFLICT,SEC_CONFLICT_0bd0ec5c,"S'il vous plaît, calmez-vous.",Please stay calm.,Desescalade,A1,STAFF,
SEC_CONFLICT,SEC_CONFLICT_77049e9f,Je comprends vous êtes énervé.,I understand you're upset.,Empathie,A2,STAFF,
SEC_CONFLICT,SEC_CONFLICT_5359cf20,Baissez la voix SVP.,Lower voice please.,Avertissement,A1,STAFF,
SEC_CONFLICT,SEC_CONFLICT_ce827cdf,Je vous aide.,I help you.,Solution,A1,STAFF,
SEC_CONFLICT,SEC_CONFLICT_15c7cbf6,Autre table ? Verre gratuit.,Other table? Free drink.,Proposition,A2,STAFF,
SEC_CONFLICT,SEC_CONFLICT_d38ae8e5,"Si ça continue, vous partez.","Continue, you leave.",Conflit,A2,STAFF,
SEC_CONFLICT,SEC_CONFLICT_5091d36d,Je ne veux pas ça.,I don't want that.,Conflit,A1,STAFF,
SEC_CONFLICT,SEC_CONFLICT_d889404d,Mes collègues arrivent.,My colleagues coming.,Conflit,A1,STAFF,
SEC_CONFLICT,SEC_CONFLICT_4decf1ff,Asseyez-vous. On parle.,Sit. We talk.,Conflit,A1,STAFF,
SEC_INCIDENT,SEC_INCIDENT_6c7956f4,Sécurité hôtel.,Hotel security.,Identification,A1,STAFF,
SEC_INCIDENT,SEC_INCIDENT_6fc18a95,Plainte bruit.,Noise complaint.,Explication,A1,STAFF,
SEC_INCIDENT,SEC_INCIDENT_3ec6f7bb,Baisser volume SVP ?,Lower volume please?,Demande,A1,STAFF,
SEC_INCIDENT,SEC_INCIDENT_fc4a12b7,Merci.,Thank you.,Cloture,A1,STAFF,
SEC_INCIDENT,SEC_INCIDENT_b191ffe1,Silence après 22h.,Quiet after 10 PM.,Conflit,A1,STAFF,
SEC_INCIDENT,SEC_INCIDENT_490a52f5,Manager impliqué sinon.,Manager involved otherwise.,Conflit,A2,STAFF,
SEC_INCIDENT,SEC_INCIDENT_2fffc66d,Préfère résoudre maintenant.,Prefer solve now.,Conflit,A1,STAFF,
