Action_ID,Scenario_ID,Type,Niveau,Contexte,Objectif_salarie,Dialogue_modele,Criteres_reussite
REST_BILL,REST_BILL_NORMAL,NORMAL,A2,Fin de repas,"Présenter addition, encaisser","Client: Bill please.
Staff: Coffee? Dessert first?
Client: No, just bill.
Staff: Here. 85,000 francs.
Client: Card OK?
Staff: Yes. Enter PIN please... Thank you. Nice evening.
Client: Thank you.",Propose dessert | Présente note | Encaisse | Remercie
REST_BILL,REST_BILL_CONFLIT,CONFLIT,A2+,Client conteste charge,"Vérifier, corriger","Client: Wait. This wine? We had glasses, not bottle.
Staff: Let me check... You're right. Sorry. I correct.
Client: And this 10%?
Staff: Service charge. On menu. Standard.
Client: Didn't see.
Staff: I understand. If not happy with service, I can ask manager.
Client: No, service was OK. Just wine.
Staff: OK. Here is correct bill. Sorry.",Vérifie | Corrige si erreur | Explique charges
REST_BILL,REST_BILL_CONFLIT2,CONFLIT,A2,Carte bancaire refusée,Gérer discrètement,"Staff: Sorry sir, card declined. Try again?
Client: (embarrassed) Strange...
Staff: Happens sometimes. Another card? Or cash?
Client: Another card.
Staff: OK... Perfect. Thank you. Good evening.",Discret | Propose alternatives | Naturel
SEC_CONTROL,SEC_CONTROL_NORMAL,NORMAL,A1+,"Personne entre, contrôle carte","Demander ID, vérifier","Staff: Good evening. Hotel guest?
Client: Yes. Room 215.
Staff: Room key please?
Client: Here.
Staff: Thank you Mr Johnson. Good evening.",Salutation | Question | Vérification | Remerciement
SEC_CONTROL,SEC_CONTROL_CONFLIT,CONFLIT,A2+,Personne refuse de montrer carte,"Expliquer, proposer solution","Staff: Good evening. Room key please?
Client: Why? I stay here!
Staff: I understand. Standard procedure. Safety. Quick.
Client: Ridiculous!
Staff: Sorry. If you lost key, I go with you to reception.
Client: OK fine.",Reste calme | Explique | Propose alternative
SEC_CONTROL,SEC_CONTROL_CONFLIT_RAW,CONFLIT_RAW,A2,Client agressif refuse contrôle,Comprendre intention hostile,"Staff: Room key please?
Client: No! I guest! Why you ask?
Staff: Sorry. Security. Everyone.
Client: Stupid!
Staff: I understand. Come, reception can check. OK?
Client: OK OK.",Reste calme | Propose solution | Obtient coopération
SEC_DIRECT,SEC_DIRECT_NORMAL,NORMAL,A1+,Client demande direction,Indiquer clairement,"Client: Where is pool?
Staff: Second floor. Elevator left. Go up. Turn right. You see signs.
Client: Open now?
Staff: Yes. Until 10 PM. You need room key.
Client: I have.
Staff: OK. Enjoy.",Directions claires | Infos horaires | Mentionne clé
SEC_DIRECT,SEC_DIRECT_CONFLIT,CONFLIT,A2,Client veut accès zone fermée,"Expliquer, proposer alternative","Client: I want to go rooftop.
Staff: Sorry. Rooftop closed after 8 PM. Safety.
Client: But I'm hotel guest!
Staff: I understand. Sorry. Opens 7 AM tomorrow. Bar on 5th floor has terrace. Same view. I show you?
Client: OK I guess.
Staff: Follow me.",Explique raison | Propose alternative | Accompagne
SEC_RULE,SEC_RULE_NORMAL,NORMAL,A2,Client fume zone non-fumeur,Rappeler règle poliment,"Staff: Excuse me sir. Sorry, no smoking here. Smoking area outside, near garden.
Client: Oh. Didn't know.
Staff: No problem. For all guests comfort. I show you?
Client: No, I find it.
Staff: Thank you.",Poli | Explique | Indique alternative
SEC_RULE,SEC_RULE_CONFLIT,CONFLIT,B1,Client refuse de respecter règle,"Maintenir règle, expliquer conséquences","Staff: Sir, no glass bottles at pool. Safety. We have plastic cups at bar.
Client: Stupid rule. I'm careful.
Staff: I understand. But hotel policy. Insurance. If accident, hotel responsible.
Client: I don't care your insurance!
Staff: I understand. But I can't make exception. Manager can explain if you want. Or I bring plastic cup now.
Client: Fine. Plastic cup.
Staff: Thank you. Coming now.",Explique raison | Reste ferme | Propose alternative | Obtient conformité
SEC_CONFLICT,SEC_CONFLICT_NORMAL,NORMAL,A2+,Dispute entre clients au bar,"Séparer, calmer","Staff: Good evening. Everything OK?
Client1: This guy bothering us!
Client2: I did nothing!
Staff: Please, calm. Sir, other table? Free drink.
Client2: OK.
Staff: Thank you. Sorry for trouble. Good evening.",Intervention calme | Sépare | Propose solution | Geste
SEC_CONFLICT,SEC_CONFLICT_CONFLIT,CONFLIT,B1,Client agressif refuse de se calmer,"Contenir, avertir","Client: Don't tell me what to do!
Staff: Sir, I understand you're upset. Please lower voice. Other guests.
Client: I don't care!
Staff: Sir, if you continue, I must ask you to leave bar. I don't want that. Can we talk calm?
Client: (pauses) Fine.
Staff: Thank you. How can I help?",Reste calme | Avertissement clair | Donne choix | Désescalade
SEC_CONFLICT,SEC_CONFLICT_AVANCE_B1,CONFLIT_AVANCE,B1,Client ivre menace physiquement,"Protéger sécurité, désescalader","Client: (shouting) Get out of my way! I hit you!
Staff: Sir, I understand you're upset. I won't fight. Let's stay calm.
Client: I destroy this place!
Staff: I hear you. I don't want anyone hurt. My colleagues coming. Please, let's sit and talk.
Client: (swaying) You don't understand...
Staff: I want to understand. But stay calm. What happened?
Client: Lost my wallet... everything...
Staff: Sorry to hear. Let me help find it. When you last have it? Check together.
Client: OK... OK.
Staff: Good. Sit here. Water coming. We figure this out.",Ne répond pas à menace | Reste calme | Appelle renfort | Cherche cause | Désescalade
SEC_CONFLICT,SEC_CONFLICT_AVANCE_A2,CONFLIT_AVANCE_SIMPLE,A2,Client très en colère,Version simplifiée,"Client: (loud) Go away! I'm angry!
Staff: Sir, please calm. What's wrong?
Client: My wallet! Gone!
Staff: OK. Let me help find. Where you last see?
Client: I don't know...
Staff: OK. Sit. Water coming. We look together.",Reste calme | Demande problème | Propose aide
SEC_INCIDENT,SEC_INCIDENT_NORMAL,NORMAL,A2,Plainte bruit 23h,Intervenir poliment,"Staff: (knocks) Hotel security.
Client: Yes?
Staff: Good evening. Noise complaint from neighbors. Please lower volume?
Client: Oh sorry. Didn't realize.
Staff: No problem. Thank you. Good evening.",S'identifie | Explique | Demande polie | Accepte excuse
SEC_INCIDENT,SEC_INCIDENT_CONFLIT,CONFLIT,B1,Client refuse de baisser volume,"Maintenir position, avertir","Staff: Sir, please lower volume. Guests complaining.
Client: Not late! They can deal!
Staff: I understand. But hotel policy: quiet after 10 PM. If continues, manager involved. Consequences possible.
Client: You threatening me?
Staff: No sir. Explaining. I prefer solve now. Can you help?
Client: (pause) Fine. We be quieter.",Ferme | Explique conséquences | Pas de menace | Propose résolution
